Source IP,Destination IP,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.43,107.23.85.26,660867867.50,551912142.50,84.00,70.00
3.37.12.80,192.168.20.48,2145.50,712.50,1.50,0.50
192.168.20.48,13.53.153.247,777595.00,0.00,72.00,0.00
192.168.20.43,176.32.98.79,2103296.00,0.00,69.00,0.00
8.6.0.1,8.0.6.4,41729733174.50,34630914924.50,20718.50,17339.50
192.168.20.48,18.210.238.233,771727.00,0.00,35.00,0.00
52.46.133.115,192.168.20.43,1048.00,0.00,1.00,0.00
192.168.20.43,54.164.163.115,2195941.00,0.00,22.00,0.00
192.168.20.48,52.84.174.15,182854.00,0.00,29.00,0.00
15.161.75.23,192.168.20.48,7068.50,5926.50,2.50,1.50
173.194.76.206,192.168.20.19,635.00,0.00,2.00,0.00
192.168.20.19,54.78.125.193,155562035.00,128199212.00,433.00,356.00
192.168.20.48,54.166.21.152,3647144.50,3257146.50,233.50,207.50
52.46.153.177,192.168.20.43,2714.00,0.00,3.00,0.00
192.168.20.48,52.45.41.186,755553.00,0.00,35.00,0.00
192.168.20.43,54.239.29.0,626866.00,0.00,24.00,0.00
199.232.58.248,192.168.20.42,387.00,0.00,6.00,0.00
192.168.20.43,54.239.31.104,63184217.00,0.00,25.00,0.00
192.168.20.48,35.177.87.146,324608.00,102144.00,54.00,18.00
192.168.20.48,13.48.240.79,591007.00,0.00,54.00,0.00
192.168.20.43,34.239.216.180,33491496.50,29101037.50,802.50,726.50
192.168.20.43,52.46.137.107,367057.00,0.00,12.00,0.00
192.168.20.43,52.95.125.12,30294710.00,0.00,14.00,0.00
52.214.227.89,192.168.20.48,45464.00,0.00,25.00,0.00
192.168.20.43,34.194.49.5,1095803483.00,0.00,140.00,0.00
192.168.20.43,52.46.136.68,369968.00,0.00,11.00,0.00
192.168.20.19,34.248.37.101,64037.00,0.00,7.00,0.00
192.168.20.43,18.210.245.179,97654693.00,0.00,43.00,0.00
52.222.175.76,192.168.20.48,23960.50,15228.50,24.50,20.50
192.168.20.43,52.46.137.106,1426909.00,0.00,62.00,0.00
52.214.227.89,192.168.20.43,1984975598.50,1984957053.50,415.50,411.50
192.168.20.43,52.94.239.40,458272.00,0.00,12.00,0.00
192.168.20.48,16.163.205.165,1997481.00,1020366.00,35.00,17.00
192.168.20.43,35.155.170.66,12679257.00,0.00,39.00,0.00
52.46.137.70,192.168.20.43,8997.00,5782.00,3.00,0.00
52.222.175.76,192.168.20.43,2668698167.50,2128947661.50,116.00,92.00
52.20.206.121,192.168.20.48,58457.50,25810.50,11.00,5.00
192.168.20.45,151.80.211.8,5850.00,0.00,1.00,0.00
192.168.20.43,44.197.43.221,19445387.00,0.00,74.00,0.00
192.168.20.43,52.84.186.218,53091292.00,28472281.00,18.00,6.00
192.168.20.19,54.217.52.155,6526649360.00,5500597011.00,1602.50,1357.50
