Source IP,Destination IP,Date,Total Flow Duration,Total Forward Packets,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.48,108.137.181.26,2022-03-11,4301429.00,55,4301429.00,0.00,55.00,0.00
192.168.20.43,54.166.101.241,2022-03-11,15459729.00,109,15459729.00,0.00,109.00,0.00
192.168.20.18,52.31.30.81,2022-06-10,855898.00,74,2639785.50,1783887.50,231.50,157.50
192.168.20.48,13.225.38.171,2022-03-11,5339614.00,386,2726264.00,2613350.00,201.50,184.50
192.168.20.48,52.94.240.240,2022-03-11,1352952.00,13,1352952.00,0.00,13.00,0.00
216.58.198.206,192.168.20.42,2022-02-11,2746.00,1,2746.00,0.00,1.00,0.00
192.168.20.42,216.58.214.174,2022-03-11,953241.00,118,953241.00,0.00,118.00,0.00
54.146.171.119,192.168.20.48,2022-07-10,2244.00,2,2244.00,0.00,2.00,0.00
192.168.20.43,52.71.238.202,2022-02-11,96980921.00,28,96980921.00,0.00,28.00,0.00
192.168.20.43,54.239.33.207,2022-02-11,117047823.00,24,117047823.00,0.00,24.00,0.00
192.168.20.42,216.58.214.170,2022-02-11,566.00,2,566.00,0.00,2.00,0.00
192.168.20.43,52.222.165.91,2022-03-11,2684974.00,585,2684974.00,0.00,585.00,0.00
192.168.20.48,34.203.4.32,2022-03-11,1341520.00,44,1341520.00,0.00,44.00,0.00
52.84.177.20,192.168.20.43,2022-03-11,1201.00,9,1201.00,0.00,9.00,0.00
192.168.20.48,3.227.117.250,2022-03-11,1787806.00,47,1787806.00,0.00,47.00,0.00
192.168.20.43,52.94.221.55,2022-03-11,316372337.00,158,316372337.00,0.00,158.00,0.00
142.250.179.99,192.168.20.42,2022-03-11,4171.00,2,4171.00,0.00,2.00,0.00
192.168.20.48,108.136.92.85,2022-03-11,7095090.00,77,7095090.00,0.00,77.00,0.00
54.91.103.251,192.168.20.48,2022-03-11,2493525.00,29,2493525.00,0.00,29.00,0.00
0.0.0.0,255.255.255.255,2022-03-11,1009201.00,8,1012636.50,3435.50,5.00,3.00
18.102.55.180,192.168.20.48,2022-03-11,10346.00,3,10346.00,0.00,3.00,0.00
192.168.20.45,92.243.6.5,2022-03-11,2030.00,1,2030.00,0.00,1.00,0.00
23.22.232.191,192.168.20.48,2022-03-11,72994.00,1,72994.00,0.00,1.00,0.00
192.168.20.48,52.203.151.208,2022-07-10,76889.00,1,76889.00,0.00,1.00,0.00
192.168.20.48,54.161.46.108,2022-02-11,1800596.00,45,1800596.00,0.00,45.00,0.00
52.84.177.20,192.168.20.48,2022-03-11,618.00,6,618.00,0.00,6.00,0.00
192.168.20.43,54.161.84.13,2022-03-11,7435960.00,80,5786253.50,1649706.50,49.00,31.00
108.136.174.255,192.168.20.48,2022-07-10,16158.00,4,16158.00,0.00,4.00,0.00
192.168.20.43,52.222.193.196,2022-03-11,1608498.00,416,1608498.00,0.00,416.00,0.00
192.168.20.48,8.8.8.8,2022-03-11,11893402.00,608,6037735.00,5855667.00,318.50,289.50
